,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
15467,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,2,258400
15468,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,939,120192000
15469,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,13,1430000
15470,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,355,40470000
15471,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1844,47575200
15472,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,47,3525000
15473,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,4,268000
15474,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,195,13065000
15475,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,521,34907000
15476,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,100,4700000
15477,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,62,2914000
15478,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1169,54943000
15479,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,62,34275956
15480,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,15,9555000
15481,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,6,3780000
15482,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,2,837748
15483,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,29,18270000
15484,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,1,412200
15485,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,31,12437200
15486,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,58,8247600
15487,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,60,8532000
15488,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,34,4569600
15489,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,96,21504000
15490,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,132,26136000
15491,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,30,19560000
15492,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,Boeing,717,31,3100000
15493,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,28,3982216
15494,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,37,4976685
15495,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,39,4943835
15496,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,31,17701000
15497,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
15498,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,30,13800000
15499,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,20,13040000
15500,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,10,6530000
15501,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,31,19471100
15502,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,31,3007093
15503,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,186,26449200
15504,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
15505,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,20,6400000
15506,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,12,3540000
15507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,93,12508500
15508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,31,3921500
15509,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,22,9400000
15510,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,20,7490000
15511,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,52,28808000
15512,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,2,1304000
15513,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,1,630000
15514,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,59,8378000
15515,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,20,6400000
15516,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,78,23010000
15517,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,155,30690000
15518,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,189,27216000
15519,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,22,14652000
15520,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000
15521,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,8,5328000
15522,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,62,39060000
15523,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,62,39060000
15524,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,17,7820000
15525,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,26,17316000
15526,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,7,98000
15527,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,5,56500
15528,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,2,21800
15529,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,16,257600
15530,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,127,5235702
15531,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,187,24310000
15532,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,297,38610000
15533,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,122,37820000
15534,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,121,32670000
15535,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,247,48906000
15536,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
15537,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,31,4535300
15538,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,43,6290900
15539,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,81,11664000
15540,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,108,13953600
15541,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,99,11979000
15542,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,158,20224000
15543,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,23,10810000
15544,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,31,18597110
15545,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,1,630000
15546,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,21,13230000
15547,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,186,17632242
15548,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,4,665788
15549,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,4,568788
15550,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,22,3128334
15551,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,149,20037669
15552,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Regional Jet,Embraer,ERJ,22,616000
15553,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,31,3968000
15554,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,18,7182585
15555,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,84,23145000
15556,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,217,29880900
15557,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,19,2701800
15558,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,15,2067000
15559,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,20,2756000
15560,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,15219977
15561,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,150,10050000
15562,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,112,15915200
15563,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,187,32070500
15564,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,23,3268300
15565,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,85,3995000
15566,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,1,146300
15567,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,1160,54520000
15568,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,515,34505000
15569,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,189,12663000
15570,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,8,536000
15571,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,55,4125000
15572,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1835,47343000
15573,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,408,46512000
15574,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,30,3300000
15575,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,884,113152000
15576,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,7,904400
15577,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,24,3504600
15578,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,3,412500
15579,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,42,5972400
15580,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,17,1938000
15581,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,1,110000
15582,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,3,384000
15583,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,320,46080000
15584,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,17,2504100
15585,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,63,9909900
15586,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,2,396000
15587,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,52,11648000
15588,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,117,13338000
15589,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,10,1100000
15590,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,10,6300000
15591,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,9,1279800
15592,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,92,57960000
15593,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,31,19530000
15594,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
15595,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,1159,229482000
15596,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,4,792000
15597,World Airways,WO,World Airways,WO,International,Europe,Passenger,Wide Body,McDonnell Douglas,MD-11,2,916000
15598,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,30,4133610
15599,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,90,12400830
15600,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,8,1102400
15601,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1163,165376274
15602,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,578,79640886
15603,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,30,4265940
15604,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,282,84600000
15605,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,53,16960000
15606,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,93,42780000
15607,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,116,51620000
15608,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,20,2843960
15609,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,125,57500000
15610,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,5,2300000
15611,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,736,101420800
15612,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,91,25214000
15613,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,18,7160540
15614,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,32,4096000
15615,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Regional Jet,Embraer,ERJ,14,392000
15616,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,2,268962
15617,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,106,14254986
15618,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,35,4976895
15619,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,8,1137576
15620,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,184,17442648
15621,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,21,13230000
15622,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,3,1890000
15623,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,31,18751877
15624,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,25,11750000
15625,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,171,21888000
15626,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,90,10890000
15627,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,131,16925200
15628,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,72,10368000
15629,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,11,1584000
15630,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,48,7022400
15631,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,29,4242700
15632,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
15633,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,239,47322000
15634,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,119,32130000
15635,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,120,37200000
15636,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,268,34840000
15637,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,215,27950000
15638,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,148,6101448
15639,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,23,370300
15640,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,3,32700
15641,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,4,56000
15642,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,29,19314000
15643,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,18,8280000
15644,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,62,39060000
15645,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,62,39060000
15646,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,13,8658000
15647,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000
15648,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,26,17316000
15649,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,201,28944000
15650,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,154,30492000
15651,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,93,27435000
15652,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,1,320000
15653,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,55,7810000
15654,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,5,3150000
15655,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,304,43228800
15656,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,2,1304000
15657,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,48,26592000
15658,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,747,1,630000
15659,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,19,7115500
15660,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,26,11084000
15661,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,56,7084000
15662,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,68,9146000
15663,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
15664,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,16,4720000
15665,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,15,4800000
15666,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
15667,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,185,26307000
15668,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,31,3007093
15669,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,27,16958700
15670,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Combi,Wide Body,Boeing,747,4,2512400
15671,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,21,13713000
15672,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,10,6520000
15673,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,25,11500000
15674,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
15675,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,31,17701000
15676,Mesaba Airlines,XJ,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,3,225000
15677,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,15219977
15678,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,43,5450895
15679,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,122,17336200
15680,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,41,5514705
15681,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,12,1550400
15682,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,22,3128884
15683,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,200,34300000
15684,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,Boeing,717,31,3100000
15685,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,28,3978800
15686,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,215,29605500
15687,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,31,20212000
15688,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,161,31878000
15689,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,101,22624000
15690,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,32,4300800
15691,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,40,5688000
15692,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,67,9527400
15693,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,32,12838400
15694,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,151,10117000
15695,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,1,412200
15696,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,26,16380000
15697,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,5,2094370
15698,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,8,5040000
15699,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,24,3307200
15700,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,14,8918000
15701,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,62,34275956
15702,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,61,2867000
15703,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,747,1,630000
15704,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,5,3260000
15705,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,9,5670000
15706,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,30,4260000
15707,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,83,24485000
15708,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,181,35838000
15709,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,136,19584000
15710,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,25,16650000
